Job Title,Company Name,Date,Location,Skills,Job Link,Salary,Job Requirements
Senior Python / Django Developer,RDI,3 days ago,"Dokki, Giza, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · MySQL · PostgresSQL · Debugging · GIT · Docker · javaScript,https://wuzzuf.net/jobs/p/8GI7basJVztd-Senior-Python-Django-Developer-RDI-Giza-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Python API Developer Ocucon Team (UK) - (Alexandria),Procrew,19 hours ago,"Alexandria, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Python · python development · Software Development · API · Docker · PostgreSQL · Computer Science,https://wuzzuf.net/jobs/p/F8yPmGvgWZ5k-Python-API-Developer-Ocucon-Team-UK---Alexandria-Procrew-Alexandria-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Python-Django Developer,Paymob Solutions,13 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · Flask · PostgreSQL · React · Web Development · Information Technology (IT) · HTML5,https://wuzzuf.net/jobs/p/kwe5h80g8Wjf-Python-Django-Developer-Paymob-Solutions-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Senior Python Backend Developer,CROCOSOFT,16 days ago,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT),https://wuzzuf.net/jobs/p/xoIvuBsGtAnO-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Senior Python Developer,Paymob Solutions,17 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · APIs · Software Engineering · Information Technology (IT) · Python · REST · Software Development · SQL,https://wuzzuf.net/jobs/p/8jpom3yTbAor-Senior-Python-Developer-Paymob-Solutions-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Full Stack Python Developer,El Geel El Rakamy,18 days ago,"Helwan, Cairo, Egypt ",Full TimePart TimeExperienced · 3 - 7 Yrs of Exp · IT/Software Development · MongoDB · Python · HTML5 · Git · CSS3 · Computer Science · Software Development · REST · JavaScript,https://wuzzuf.net/jobs/p/WdeSIOMzyMtU-Full-Stack-Python-Developer-El-Geel-El-Rakamy-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Senior Backend Developer - Node.js & Python,DIGIS2,10 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Software Engineering · SQL · Angular · Computer Engineering · Information Technology (IT) · Laravel,https://wuzzuf.net/jobs/p/Vo0FB8GwaBp7-Senior-Backend-Developer---Nodejs-Python-DIGIS2-Cairo-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
ERP Next - Python Developer,Houya Arrow,19 days ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Development · HTML · ERP · HTML5 · Information Technology (IT) · IT,https://wuzzuf.net/jobs/p/XTPf8LY01DTQ-ERP-Next---Python-Developer-Houya-Arrow-Cairo-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Python Software Developer (Packet Core CDD),Sceel.io,22 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Python · Docker · Jenkins · Kubernetes · Software Development · Automation · Development,https://wuzzuf.net/jobs/p/4aTpdrP623pr-Python-Software-Developer-Packet-Core-CDD-Sceel-io-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Senior Backend (Python) Engineer - Customer Domain,Nana,22 days ago,"Sheraton, Cairo, Egypt ",Full TimeWork From HomeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Agile · Information Technology (IT) · JavaScript · MySQL · Software Development · Startup · Computer Science,https://wuzzuf.net/jobs/p/K2YCB4wsIGwr-Senior-Backend-Python-Engineer---Customer-Domain-Nana-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Python Developer,OdooTec,28 days ago,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · MVC · Information Technology (IT) · Computer Science · Python · Software Development · CSS · Design,https://wuzzuf.net/jobs/p/ZdWb6pnGtLmB-Python-Developer-OdooTec-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Python Developer,WeArt,1 month ago,"Dammam, Saudi Arabia ",Full TimeExperienced · 3 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Flask · Python · Software Engineering · Django · Computer Science · Design Patterns · HTML5 · Information Technology (IT),https://wuzzuf.net/jobs/p/cPvgV6Wt9Wjx-Python-Developer-WeArt-Dammam-Saudi-Arabia?o=12&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Senior Python Developer,Trufla,1 month ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · APIs · AWS · Computer Science · Git · Information Technology (IT) · Linux · Python,https://wuzzuf.net/jobs/p/ONfRqVhgKtiC-Senior-Python-Developer-Trufla-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
Full Stack Python Developer (Open Edx Developer),Dolf,1 month ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 6 - 12 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Python · MySQL · MongoDB · JavaScript · HTML5 · Computer Science,https://wuzzuf.net/jobs/p/iu3t3cJ97TTT-Full-Stack-Python-Developer-Open-Edx-Developer-Dolf-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb,Confidential,Bachelor/Master of Science in relevant area or equivalent formal education.
